id,ieul_店舗id,branch_id,市区町村,city_id,名前,性別,gender,年齢,住所全部,物件種別,property_type,売却回数,sales_count,売却検討時期,査定依頼時期,売出時期,売却時期,引渡時期,査定価格,販売価格,値下げしたかどうか,売り出してから何ヶ月後に値下げしたか,値下げ価格,成約価格,媒介契約の形態,見出し,売却理由,売却時に不安だったこと,この会社に決めた理由,不動産会社の対応満足度,不動産会社の対応満足度の理由,今後売却する人へのアドバイス,不動産会社に改善してほしい点
11,11,11,稲沢市,1076,吉川 梨奈,女性,2,56,平和町法立起南,土地,3,2回目,2,2018-07-02,2018-07-02,2018-08-06,2019-03-04,2019-03-28,19800000,19800000,1,3,19000000,17500000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,店舗前に駐車場があれば良かった。
12,12,12,堺市堺区,1235,高橋 友紀,女性,2,46,櫛屋町西１丁,戸建て,2,3回以上,3,2019-01-14,2019-02-07,2019-02-07,2019-11-21,2019-11-21,16500000,16800000,1,3,800000,15000000,2,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にない。
13,13,13,相模原市中央区,760,牧野 史織,女性,2,52,上溝４丁目,マンション,1,初めて,1,2019-01-06,2019-03-23,2019-04-01,2019-07-13,2019-12-23,15700000,19980000,0,,,15980000,2,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,未だご近所に売却を知られたくない時期に、庭先で大きな声であいさつや説明をされるのは勘弁してもらいたいです。
14,16,16,南丹市,1214,渡邉 直美,女性,2,50,日吉町天若向山,土地,3,2回目,2,2019-01-01,2019-04-05,2019-04-20,2019-08-10,2019-09-10,7000000,6000000,1,7,800000,5200000,2,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にありません。
15,17,17,川越市,598,伊藤 さおり,女性,2,41,中台南2丁目,戸建て,2,3回以上,3,2018-09-30,2019-04-01,2019-04-01,2019-07-01,2019-07-01,8500000,8500000,0,,,8000000,1,担当者の対応が良かったです。,5,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特になし。
16,18,18,厚木市,747,田中 沙織,女性,2,59,愛甲西3丁目,マンション,1,初めて,1,2019-03-28,2019-04-20,2019-04-20,2019-06-21,2019-07-19,12000000,14800000,0,,,14800000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にないです。
17,19,19,川口市,567,廣津 ゆかり,女性,2,61,芝樋ノ爪1丁目,土地,3,2回目,2,2018-03-01,2018-06-02,2018-08-01,2019-02-01,2019-03-01,11000000,11000000,0,,,10500000,2,担当者の対応が良かったです。,99,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にありませんでした。
18,20,20,藤沢市,779,谷崎 将史,男性,1,42,片瀬海岸3丁目,戸建て,2,3回以上,3,2018-02-01,2018-02-28,2019-01-01,2019-02-28,2019-02-28,45800000,45800000,0,,,45800000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,3,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,丁寧な説明が良かったです。
19,21,21,横浜市西区,768,栗原 直子,女性,2,42,中央1丁目,マンション,1,初めて,1,2018-09-01,2019-02-01,2019-02-01,2019-03-01,2019-04-12,24500000,24500000,1,3,2000000,20800000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にありません。
20,22,22,四街道市,654,荒木 健,男性,1,65,めいわ1丁目,土地,3,2回目,2,2018-11-01,2018-12-01,2018-12-01,2019-05-10,2019-06-28,4900000,6500000,0,,,3500000,4,担当者の対応が良かったです。,6,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,売却を決めた不動産会社に関しましては何も言う事はありません。
21,23,23,八王子市,693,醍醐 里美,女性,2,65,南大沢5丁目,戸建て,2,3回以上,3,2019-05-01,2019-06-01,2019-06-10,2019-09-06,2019-09-20,13500000,13800000,0,,,13800000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,2,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,引き継ぎはしっかりして欲しいです。上から目線も止めて欲しい。
22,24,24,墨田区,707,中村 周子,女性,2,48,立花5丁目,マンション,1,初めて,1,2018-01-01,2018-04-01,2018-05-01,2019-03-19,2019-03-29,4100000,4100000,1,1,700000,3800000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特にないです。
23,25,25,江戸川区,698,大橋 嘉奈子,女性,2,41,南篠崎町1丁目,土地,3,2回目,2,2018-01-01,2018-01-15,2018-01-20,2018-03-30,2018-04-01,8500000,12000000,0,,,10500000,1,担当者の対応が良かったです。,5,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,担当者が独立したため、続けてフォローしてほしかった。
24,26,26,越谷市,559,高野 聡,男性,1,60,瓦曽根2丁目,戸建て,2,3回以上,3,2018-09-27,2019-07-01,2019-07-01,2019-09-20,2019-10-01,12000000,12000000,0,,,12000000,3,担当者の対応が良かったです。,5,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,5,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,会社が休日でも連絡はつながるようにしておいた方が良い。
25,27,27,ふじみ野市,595,亀田 悠人,男性,1,57,大井1丁目,マンション,1,初めて,1,2018-06-01,2018-08-01,2018-08-15,2019-06-30,2019-07-31,12500000,12500000,1,6,1000000,11500000,1,担当者の対応が良かったです。,1,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特になし。
26,28,28,川越市,598,金谷 駿介,男性,1,40,吉田新町2丁目,土地,3,2回目,2,2019-02-01,2019-03-20,2019-04-01,2019-10-31,2019-10-31,33680000,34800000,0,,,33800000,1,担当者の対応が良かったです。,4,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,なし。
27,29,29,松戸市,646,横田 正昭,男性,1,46,北松戸1丁目,戸建て,2,3回以上,3,2019-02-05,2019-03-18,2019-03-24,2019-07-31,2019-08-28,18000000,18000000,0,,,14000000,2,担当者の対応が良かったです。,2,山路（やまみち）を登りながら、こう考えた。知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。住みにくさが高じると、安いところへ引き越したくなる。どこへ越しても住みにくいと悟った時、詩が生まれて、画ができる。,吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれ,4,恥の多い生涯を送って来ました。自分には、人間の生活というものが、見当つかないのです。自分は東北の田舎に生れましたので、汽車をはじめて見たのは、よほど大きくなってからでした。自分は停車場のブリッジを、上,木曾路はすべて山の中である。あるところは岨づたいに,特に無し。
